zip,"md, r","md, sb_c","md, dif in %","fd, r","fd, sb_c","fd, dif in %","td, sb_gr","td, sb_gc","td, sb_c","td, dif in %"
11428.0,114.0,108.0,5.41,104.0,90.0,14.43,218.0,198.0,230.0,9.91
11429.0,197.0,197.0,0.0,221.0,226.0,2.24,418.0,423.0,450.0,4.96
11430.0,,0.0,,,0.0,,,0.0,0.0,
11432.0,534.0,579.0,8.09,532.0,562.0,5.48,1066.0,1141.0,1158.0,5.47
11433.0,326.0,344.0,5.37,350.0,373.0,6.36,676.0,717.0,747.0,6.64
11434.0,595.0,655.0,9.6,650.0,725.0,10.91,1245.0,1380.0,1394.0,7.41
11435.0,459.0,492.0,6.94,403.0,435.0,7.64,862.0,927.0,946.0,6.14
11436.0,154.0,157.0,1.93,194.0,198.0,2.04,348.0,355.0,370.0,4.1
11691.0,848.0,928.0,9.01,742.0,805.0,8.14,1590.0,1733.0,1752.0,6.38
11692.0,268.0,266.0,0.75,252.0,247.0,2.0,520.0,513.0,555.0,5.29
11693.0,96.0,79.0,19.43,120.0,123.0,2.47,216.0,202.0,224.0,6.85
11694.0,314.0,319.0,1.58,286.0,293.0,2.42,600.0,612.0,646.0,4.95
11697.0,48.0,39.0,20.69,74.0,66.0,11.43,122.0,105.0,,22.47
,408.96,437.17,13.61,422.36,448.95,12.75,835.72,886.12,907.79,9.6
